dv,effect,df,F,p,partial_eta_sq,note
agency,C(process_condition),5.0,19.850373068562423,2.055070624798934e-17,0.22191492765879686,Synthetic AI-simulated data.
agency,C(identity_label),1.0,11.451657756105266,0.0007957419563972466,0.031858686721860756,Synthetic AI-simulated data.
agency,C(process_condition):C(identity_label),5.0,1.2559113252257024,0.28261865694190585,0.017724863059923417,Synthetic AI-simulated data.
experience,C(process_condition),5.0,4.761283643892289,0.00031934699188166125,0.06402906742026582,Synthetic AI-simulated data.
experience,C(identity_label),1.0,1296.2329192546624,2.1843064066090298e-119,0.7883511539485842,Synthetic AI-simulated data.
experience,C(process_condition):C(identity_label),5.0,2.296894409937879,0.044908663785886566,0.031947060144789693,Synthetic AI-simulated data.
free_will_attribution,C(process_condition),5.0,5.894093446646993,3.0263868627832763e-05,0.07807357075971053,Synthetic AI-simulated data.
free_will_attribution,C(identity_label),1.0,73.83706480190466,2.9054507261225694e-16,0.1750369300444916,Synthetic AI-simulated data.
free_will_attribution,C(process_condition):C(identity_label),5.0,1.7286442124683958,0.12729712140340388,0.024234923172228546,Synthetic AI-simulated data.
autonomy,C(process_condition),5.0,6.780382857067584,4.753854772769025e-06,0.08877126041323824,Synthetic AI-simulated data.
autonomy,C(identity_label),1.0,17.991133420286477,2.848360069656942e-05,0.04915729310749813,Synthetic AI-simulated data.
autonomy,C(process_condition):C(identity_label),5.0,1.4565142352739744,0.203506890401882,0.020497969129914476,Synthetic AI-simulated data.
outcome_accountability,C(process_condition),5.0,1.983292383292362,0.08050578470224382,0.02770607941127985,Synthetic AI-simulated data.
outcome_accountability,C(identity_label),1.0,294.9631449631461,2.5645212612198115e-48,0.4587559135758132,Synthetic AI-simulated data.
outcome_accountability,C(process_condition):C(identity_label),5.0,0.7066339066339076,0.6187824397337552,0.01005074297216826,Synthetic AI-simulated data.
moral_praise_blame,C(process_condition),5.0,1.328592753426493,0.2514115309011341,0.01873141284566526,Synthetic AI-simulated data.
moral_praise_blame,C(identity_label),1.0,232.3817342923061,1.5009072485246524e-40,0.4003946378079299,Synthetic AI-simulated data.
moral_praise_blame,C(process_condition):C(identity_label),5.0,0.3140453250101768,0.9044431590090615,0.004491877469688256,Synthetic AI-simulated data.
process_accountability,C(process_condition),5.0,6.0039631593636456,2.4062297464680662e-05,0.07941333904292883,Synthetic AI-simulated data.
process_accountability,C(identity_label),1.0,56.60625174434898,4.589014412179708e-13,0.13990454052626877,Synthetic AI-simulated data.
process_accountability,C(process_condition):C(identity_label),5.0,1.217627686296391,0.30028727044072584,0.01719385026126777,Synthetic AI-simulated data.
responsibility_total,C(process_condition),5.0,1.0753712573796832,0.3736919058242623,0.015215643557972773,Synthetic AI-simulated data.
responsibility_total,C(identity_label),1.0,229.96266027238326,3.1140684481889073e-40,0.3978849778357758,Synthetic AI-simulated data.
responsibility_total,C(process_condition):C(identity_label),5.0,0.5742907562335492,0.7197165032073471,0.008183777136109283,Synthetic AI-simulated data.
perceived_intelligence,C(process_condition),5.0,11.583008970137437,2.3047551115887683e-10,0.14267774891662566,Synthetic AI-simulated data.
perceived_intelligence,C(identity_label),1.0,1.001680481435232,0.31759962340072573,0.0028701308258844193,Synthetic AI-simulated data.
perceived_intelligence,C(process_condition):C(identity_label),5.0,1.763510843647105,0.11967393840909024,0.02471166038216428,Synthetic AI-simulated data.
factual_manipulation_check,C(process_condition),5.0,1314.0214682655737,1.929405649003221e-223,0.949697224568764,Synthetic AI-simulated data.
factual_manipulation_check,C(identity_label),1.0,0.4156186019303466,0.5195561504478424,0.0011928816612701758,Synthetic AI-simulated data.
factual_manipulation_check,C(process_condition):C(identity_label),5.0,0.3545481134835232,0.8792092563277158,0.005068263937726519,Synthetic AI-simulated data.
subjective_process_completeness,C(process_condition),5.0,117.58003945224304,1.5205865311812777e-72,0.6281654806587553,Synthetic AI-simulated data.
subjective_process_completeness,C(identity_label),1.0,7.482346550787644,0.006549885790020089,0.021048433553418785,Synthetic AI-simulated data.
subjective_process_completeness,C(process_condition):C(identity_label),5.0,0.8882643872037386,0.48900706539498573,0.012601592547723335,Synthetic AI-simulated data.
